DATE,IRSTCI01EZM156N
2019-09-01,-0.4032
2019-10-01,-0.4642
2019-11-01,-0.4513
2019-12-01,-0.4562
2020-01-01,-0.4527
2020-02-01,-0.4533
2020-03-01,-0.4488
2020-04-01,-0.4516
2020-05-01,-0.4567
2020-06-01,-0.4607
2020-07-01,-0.4649
2020-08-01,-0.4677
2020-09-01,-0.469
2020-10-01,-0.4694
2020-11-01,-0.4713
2020-12-01,-0.4725
2021-01-01,-0.4783
2021-02-01,-0.4787
2021-03-01,-0.4793
2021-04-01,-0.4808
2021-05-01,-0.4797
2021-06-01,-0.4796
2021-07-01,-0.4812
2021-08-01,-0.4829
2021-09-01,-0.485
2021-10-01,-0.4856
2021-11-01,-0.488
2021-12-01,-0.4922
2022-01-01,-0.579465714285714
2022-02-01,-0.576333
2022-03-01,-0.577703043478261
2022-04-01,-0.583707368421053
2022-05-01,-0.584741363636364
2022-06-01,-0.582624090909091
2022-07-01,-0.571064285714286
2022-08-01,-0.0946521739130435
2022-09-01,0.254584090909091
2022-10-01,0.655378571428571
2022-11-01,1.26661954545455
2022-12-01,1.50396476190476
2023-01-01,1.90131181818182
2023-02-01,2.200642
2023-03-01,2.50836391304348
2023-04-01,2.89908111111111
2023-05-01,3.04630909090909
2023-06-01,3.20459045454545
2023-07-01,3.40326333333333
2023-08-01,3.61036652173913
2023-09-01,3.7125219047619
2023-10-01,3.90106045454545
2023-11-01,3.90274363636364
